"gear_links_name","gear_links_url","gear_links_card_name","gear_links_card_text","gear_links_keywords","gear_links_craft_blurb","gear_links_crafting_reqs_name","gear_links_categories_name","gear_links_special_rules","gear_links_armor_points_name","gear_links_speed","gear_links_accuracy","gear_links_strength","gear_links_required_for_name"
"","","","","","","","Gear","","","","","",""
"","","","","","","","Cards","","","","","",""
"","","","","","","","Catarium Gear","","","","","",""
"","","","","","","","Gear with Any Affinities","","","","","",""
"","","","","","","","Gear with Up Any Affinities","","","","","",""
"","","","","","","","Gear with Left Any Affinities","","","","","",""
"","","","","","","","Gear with Down Any Affinities","","","","","",""
"","","","","","","","Gear with Right Any Affinities","","","","","",""
"","","","","","","","Core Game Gear","","","","","",""
"","","","","","","","","","","","","","Telcric Eye Tac (Gear)"
"Cat Fang Knife","https://kingdomdeath.fandom.com/wiki/Cat_Fang_Knife","Cat Fang Knife","Affinity Bonus: On a Perfect hit, gain +1 strength token. When knocked down, remove all your +1 strength tokens.","weapon, melee, dagger, bone","The Cat Fang Knife may be crafted once the Catarium settlement location has been built.","","","Affinity Bonus","Affinity Bonus","3","6+","2",""
"","","","","","","1x Elder Cat Teeth","","","","","","",""
"","","","","","","4x Organ","","","","","","",""
"","","","","","","","Melee Weapons","","","","","",""
"","","","","","","","Daggers","","","","","",""
"","","","","","","","Bone Gear","","","","","",""
"","","","","","","","On a Perfect Hit","","","","","",""
"","","","","","","","Gear with Red Affinities","","","","","",""
"","","","","","","","Gear with Up Red Affinities","","","","","",""
"","","","","","","","Gear with Down Red Affinities","","","","","",""
"","","","","","","","Gear with Left Red Affinities","","","","","",""
"","","","","","","","Gear with Right Red Affinities","","","","","",""
"","","","","","","","Uses for Elder Cat Teeth","","","","","",""
"","","","","","","","Gear","","","","","",""
"","","","","","","","Cards","","","","","",""
"","","","","","","","Catarium Gear","","","","","",""
"","","","","","","","When you are knocked down","","","","","",""
"","","","","","","","Gear with Any Affinities","","","","","",""
"","","","","","","","Gear with Up Any Affinities","","","","","",""
"","","","","","","","Gear with Left Any Affinities","","","","","",""
"","","","","","","","Gear with Down Any Affinities","","","","","",""
"","","","","","","","Gear with Right Any Affinities","","","","","",""
"","","","","","","","Core Game Gear","","","","","",""
"Cat Gut Bow","https://kingdomdeath.fandom.com/wiki/Cat_Gut_Bow","Cat Gut Bow","Cumbersome, Range 6
Aim: When you attack, before rolling to hit, you may reduce the speed of this weapon by 1 to gain +2 accuracy for that attack.","weapon, ranged, bow, two-handed","The Cat Gut Bow may be crafted once the Catarium settlement location has been built.","","","Cumbersome, Range 6, Aim","Cumbersome","2","7+","3",""
"Cat Gut Bow","https://kingdomdeath.fandom.com/wiki/Cat_Gut_Bow","Cat Gut Bow","Cumbersome, Range 6
Aim: When you attack, before rolling to hit, you may reduce the speed of this weapon by 1 to gain +2 accuracy for that attack.","weapon, ranged, bow, two-handed","The Cat Gut Bow may be crafted once the Catarium settlement location has been built.","","","Cumbersome, Range 6, Aim","Range 6","2","7+","3",""
"Cat Gut Bow","https://kingdomdeath.fandom.com/wiki/Cat_Gut_Bow","Cat Gut Bow","Cumbersome, Range 6
Aim: When you attack, before rolling to hit, you may reduce the speed of this weapon by 1 to gain +2 accuracy for that attack.","weapon, ranged, bow, two-handed","The Cat Gut Bow may be crafted once the Catarium settlement location has been built.","","","Cumbersome, Range 6, Aim","Aim","2","7+","3",""
"","","","","","","1x Sinew","","","","","","",""
"","","","","","","1x Bone","","","","","","",""
"","","","","","","","Bows","","","","","",""
"","","","","","","","Ranged Weapons","","","","","",""
"","","","","","","","Two-Handed Weapons","","","","","",""
"","","","","","","","Cumbersome Gear","","","","","",""
"","","","","","","","Gear with Blue Affinities","","","","","",""
"","","","","","","","Gear with Up Blue Affinities","","","","","",""
"","","","","","","","Uses for Sinew","","","","","",""
"","","","","","","","Gear","","","","","",""
"","","","","","","","Cards","","","","","",""
"","","","","","","","Weapons","","","","","",""
"","","","","","","","Catarium Gear","","","","","",""
"","","","","","","","Gear with Any Affinities","","","","","",""
"","","","","","","","Gear with Up Any Affinities","","","","","",""
"","","","","","","","Gear with Left Any Affinities","","","","","",""
"","","","","","","","Gear with Down Any Affinities","","","","","",""
"","","","","","","","Gear with Right Any Affinities","","","","","",""
"","","","","","","","Core Game Gear","","","","","",""
"Claw Head Arrow","https://kingdomdeath.fandom.com/wiki/Claw_Head_Arrow","Claw Head Arrow","Slow
Ammo - Bow: You must have a bow in your gear grid to activate this.","item, ammunition, arrow","If you hit, monster gains -1 evasion token. Use once per showdown.","","","Slow, Ammo - Bow","Slow","1","6+","6",""
"Claw Head Arrow","https://kingdomdeath.fandom.com/wiki/Claw_Head_Arrow","Claw Head Arrow","Slow
Ammo - Bow: You must have a bow in your gear grid to activate this.","item, ammunition, arrow","If you hit, monster gains -1 evasion token. Use once per showdown.","","","Slow, Ammo - Bow","Ammo - Bow","1","6+","6",""
"","","","","","","1x Lion Claw","","","","","","",""
"","","","","","","","Items","","","","","",""
"","","","","","","","Ammunition","","","","","",""
"","","","","","","","Arrows","","","","","",""
"","","","","","","","Gear with Slow","","","","","",""
"","","","","","","","Gear with Blue Affinities","","","","","",""
"","","","","","","","Gear with Right Blue Affinities","","","","","",""
"","","","","","","","Uses for Lion Claw","","","","","",""
"","","","","","","","Cards","","","","","",""
"","","","","","","","Gear","","","","","",""
"","","","","","","","Catarium Gear","","","","","",""
"","","","","","","","Use Once per Showdown","","","","","",""
"","","","","","","","Gear with Any Affinities","","","","","",""
"","","","","","","","Gear with Up Any Affinities","","","","","",""
"","","","","","","","Gear with Left Any Affinities","","","","","",""
"","","","","","","","Gear with Down Any Affinities","","","","","",""
"","","","","","","","Gear with Right Any Affinities","","","","","",""
"","","","","","","","Core Game Gear","","","","","",""
"Frenzy Drink","https://kingdomdeath.fandom.com/wiki/Frenzy_Drink","Frenzy Drink","Consume: Suffer Frenzy brain trauma. Can be used once per showdown.","item, consumable, fragile","The Frenzy Drink may be crafted once the Catarium settlement location has been built.","","","Consume","Consume","","","",""
"","","","","","","1x Lion Testes","","","","","","",""
"","","","","","","","Items","","","","","",""
"","","","","","","","Consumables","","","","","",""
"","","","","","","","Fragile Gear","","","","","",""
"","","","","","","","Use Once per Showdown","","","","","",""
"","","","","","","","Uses for Lion Testes","","","","","",""
"","","","","","","","Cards","","","","","",""
"","","","","","","","Catarium Gear","","","","","",""
"","","","","","","","Core Game Consumables","","","","","",""
"","","","","","","","Consumable Gear","","","","","",""
"","","","","","","","Core Game Cards","","","","","",""
"","","","","","","","Core Game Gear","","","","","",""
"King Spear","https://kingdomdeath.fandom.com/wiki/King_Spear","King Spear","Reach 2: May attack from 2 spaces away.","weapon, melee, spear, heavy, two-handed","The King Spear may be crafted once the Catarium settlement location has been built.","","","Reach 2","Reach 2","2","6+","3",""
"","","","","","","1x Lion Claw","","","","","","",""
"","","","","","","1x Great Cat Bones","","","","","","",""
"","","","","","","","Melee Weapons","","","","","",""
"","","","","","","","Spears","","","","","",""
"","","","","","","","Heavy Gear","","","","","",""
"","","","","","","","Two-Handed Weapons","","","","","",""
"","","","","","","","Gear with Reach","","","","","",""
"","","","","","","","Gear with Red Affinities","","","","","",""
"","","","","","","","Gear with Right Red Affinities","","","","","",""
"","","","","","","","Uses for Lion Claw","","","","","",""
"","","","","","","","Uses for Great Cat Bones","","","","","",""
"","","","","","","","Gear","","","","","",""
"","","","","","","","Cards","","","","","",""
"","","","","","","","Weapons","","","","","",""
"","","","","","","","Catarium Gear","","","","","",""
"","","","","","","","Gear with Any Affinities","","","","","",""
"","","","","","","","Gear with Up Any Affinities","","","","","",""
"","","","","","","","Gear with Left Any Affinities","","","","","",""
"","","","","","","","Gear with Down Any Affinities","","","","","",""
"","","","","","","","Gear with Right Any Affinities","","","","","",""
"","","","","","","","Core Game Gear","","","","","",""
"Lion Beast Katar","https://kingdomdeath.fandom.com/wiki/Lion_Beast_Katar","Lion Beast Katar","Deadly: +1 luck with this weapon.
Paired: When you attack, add the speed of a 2nd Lion Beast Katar in your gear grid.","weapon, melee, katar","The may be crafted once the Catarium settlement location has been built.","","","Deadly, Paired","Deadly","2","7+","3",""
"Lion Beast Katar","https://kingdomdeath.fandom.com/wiki/Lion_Beast_Katar","Lion Beast Katar","Deadly: +1 luck with this weapon.
Paired: When you attack, add the speed of a 2nd Lion Beast Katar in your gear grid.","weapon, melee, katar","The may be crafted once the Catarium settlement location has been built.","","","Deadly, Paired","Paired","2","7+","3",""
"","","","","","","1x Lion Claw","","","","","","",""
"","","","","","","1x Hide","","","","","","",""
"","","","","","","","Melee Weapons","","","","","",""
"","","","","","","","Katars","","","","","",""
"","","","","","","","Deadly Gear","","","","","",""
"","","","","","","","Paired Gear","","","","","",""
"","","","","","","","Uses for Lion Claw","","","","","",""
"","","","","","","","Cards","","","","","",""
"","","","","","","","Gear","","","","","",""
"","","","","","","","Catarium Gear","","","","","",""
"","","","","","","","Core Game Gear","","","","","",""
"Lion Headdress","https://kingdomdeath.fandom.com/wiki/Lion_Headdress","Lion Headdress","Accessory: You may wear this in addition to 1 armor at this hit location.","item, flammable","The Lion Headdress may be crafted once the Catarium settlement location has been built.","","","Accessory","Armor Points","","","",""
"Lion Headdress","https://kingdomdeath.fandom.com/wiki/Lion_Headdress","Lion Headdress","Accessory: You may wear this in addition to 1 armor at this hit location.","item, flammable","The Lion Headdress may be crafted once the Catarium settlement location has been built.","","","Accessory","1","","","",""
"Lion Headdress","https://kingdomdeath.fandom.com/wiki/Lion_Headdress","Lion Headdress","Accessory: You may wear this in addition to 1 armor at this hit location.","item, flammable","The Lion Headdress may be crafted once the Catarium settlement location has been built.","","","Accessory","Accessory","","","",""
"","","","","","","1x Shimmering Mane","","","","","","",""
"","","","","","","","Items","","","","","",""
"","","","","","","","Flammable Gear","","","","","",""
"","","","","","","","Accessories","","","","","",""
"","","","","","","","Uses for Shimmering Mane","","","","","",""
"","","","","","","","Gear","","","","","",""
"","","","","","","","Cards","","","","","",""
"","","","","","","","Catarium Gear","","","","","",""
"","","","","","","","Core Game Gear","","","","","",""
"Lion Skin Cloak","https://kingdomdeath.fandom.com/wiki/Lion_Skin_Cloak","Lion Skin Cloak","Reduce damage from every hit suffered by 1 to a minimum of 1.","armor, fur, heavy, bone, flammable","The Lion Skin Cloak may be crafted once the Catarium settlement location has been built.","","","0","Armor Points","","","",""
"Lion Skin Cloak","https://kingdomdeath.fandom.com/wiki/Lion_Skin_Cloak","Lion Skin Cloak","Reduce damage from every hit suffered by 1 to a minimum of 1.","armor, fur, heavy, bone, flammable","The Lion Skin Cloak may be crafted once the Catarium settlement location has been built.","","","0","0","","","",""
"","","","","","","2x White Fur","","","","","","",""
"","","","","","","","Body Armor","","","","","",""
"","","","","","","","Fur Gear","","","","","",""
"","","","","","","","Bone Gear","","","","","",""
"","","","","","","","Heavy Gear","","","","","",""
"","","","","","","","Flammable Gear","","","","","",""
"","","","","","","","Gear with Green Affinities","","","","","",""
"","","","","","","","Gear with Right Green Affinities","","","","","",""
"","","","","","","","Uses for White Fur","","","","","",""
"","","","","","","","Cards","","","","","",""
"","","","","","","","Gear","","","","","",""
"","","","","","","","Armor","","","","","",""
"","","","","","","","Catarium Gear","","","","","",""
"","","","","","","","Gear with Any Affinities","","","","","",""
"","","","","","","","Gear with Up Any Affinities","","","","","",""
"","","","","","","","Gear with Left Any Affinities","","","","","",""
"","","","","","","","Gear with Down Any Affinities","","","","","",""
"","","","","","","","Gear with Right Any Affinities","","","","","",""
"","","","","","","","Core Game Gear","","","","","",""
"Whisker Harp","https://kingdomdeath.fandom.com/wiki/Whisker_Harp","Whisker Harp","On Arrival, all survivors gain +1 survival.","item, instrument, noisy",": Strum. Roll 1d10. On a result of 6+ discard 1 mood currently in play.","1x Golden Whiskers","","","","","","",""
"Whisker Harp","https://kingdomdeath.fandom.com/wiki/Whisker_Harp","Whisker Harp","On Arrival, all survivors gain +1 survival.","item, instrument, noisy",": Strum. Roll 1d10. On a result of 6+ discard 1 mood currently in play.","1x Bone","","","","","","",""
"","","","","","","","Items","","","","","",""
"","","","","","","","Instruments","","","","","",""
"","","","","","","","Noisy Gear","","","","","",""
"","","","","","","","On Arrival","","","","","",""
"","","","","","","","Gear with Blue Affinities","","","","","",""
"","","","","","","","Gear with Left Blue Affinities","","","","","",""
"","","","","","","","Uses for Golden Whiskers","","","","","",""
"","","","","","","","Gear","","","","","",""
"","","","","","","","Cards","","","","","",""
"","","","","","","","Catarium Gear","","","","","",""
"","","","","","","","Core Game Gear","","","","","",""
"White Lion Boots","https://kingdomdeath.fandom.com/wiki/White_Lion_Boots","White Lion Boots","Affinity Bonus: +1 Movement.","armor, set, fur, heavy","The White Lion Boots may be crafted once the Catarium settlement location has been built.","","","Affinity Bonus","Armor Points","","","",""
"White Lion Boots","https://kingdomdeath.fandom.com/wiki/White_Lion_Boots","White Lion Boots","Affinity Bonus: +1 Movement.","armor, set, fur, heavy","The White Lion Boots may be crafted once the Catarium settlement location has been built.","","","Affinity Bonus","2","","","",""
"White Lion Boots","https://kingdomdeath.fandom.com/wiki/White_Lion_Boots","White Lion Boots","Affinity Bonus: +1 Movement.","armor, set, fur, heavy","The White Lion Boots may be crafted once the Catarium settlement location has been built.","","","Affinity Bonus","Affinity Bonus","","","",""
"","","","","","","1x White Fur","","","","","","",""
"","","","","","","1x Hide","","","","","","",""
"","","","","","","","Leg Armor","","","","","",""
"","","","","","","","Fur Gear","","","","","",""
"","","","","","","","Heavy Gear","","","","","",""
"","","","","","","","Gear with Red Affinities","","","","","",""
"","","","","","","","Gear with Right Red Affinities","","","","","",""
"","","","","","","","Gear with Down Red Affinities","","","","","",""
"","","","","","","","Uses for White Fur","","","","","",""
"","","","","","","","Gear","","","","","",""
"","","","","","","","Cards","","","","","",""
"","","","","","","","Gear with Movement Bonus","","","","","",""
"","","","","","","","Catarium Gear","","","","","",""
"","","","","","","","Core Game Gear","","","","","",""
"","","","","","","","","","","","","","White Lion Armor"
"White Lion Coat","https://kingdomdeath.fandom.com/wiki/White_Lion_Coat","White Lion Coat","Pounce: Spend and to move 3 spaces in a straight line. Then, if you moved 3 spaces, activate a melee weapon with +1 strength.","armor, set, fur, heavy","The White Lion Coat may be crafted once the Catarium settlement location has been built.","","","Pounce","Armor Points","","","",""
"White Lion Coat","https://kingdomdeath.fandom.com/wiki/White_Lion_Coat","White Lion Coat","Pounce: Spend and to move 3 spaces in a straight line. Then, if you moved 3 spaces, activate a melee weapon with +1 strength.","armor, set, fur, heavy","The White Lion Coat may be crafted once the Catarium settlement location has been built.","","","Pounce","2","","","",""
"White Lion Coat","https://kingdomdeath.fandom.com/wiki/White_Lion_Coat","White Lion Coat","Pounce: Spend and to move 3 spaces in a straight line. Then, if you moved 3 spaces, activate a melee weapon with +1 strength.","armor, set, fur, heavy","The White Lion Coat may be crafted once the Catarium settlement location has been built.","","","Pounce","Pounce","","","",""
"","","","","","","1x White Fur","","","","","","",""
"","","","","","","1x Hide","","","","","","",""
"","","","","","","","Body Armor","","","","","",""
"","","","","","","","Fur Gear","","","","","",""
"","","","","","","","Heavy Gear","","","","","",""
"","","","","","","","Gear with Blue Affinities","","","","","",""
"","","","","","","","Gear with Up Blue Affinities","","","","","",""
"","","","","","","","Uses for White Fur","","","","","",""
"","","","","","","","Cards","","","","","",""
"","","","","","","","Gear","","","","","",""
"","","","","","","","Armor","","","","","",""
"","","","","","","","","","","","","","White Lion Armor"
"White Lion Gauntlets","https://kingdomdeath.fandom.com/wiki/White_Lion_Gauntlets","White Lion Gauntlet","When you Pounce, gain +1 accuracy for your next attack this turn.","armor, set, fur, heavy","The White Lion Gauntlets may be crafted once the Catarium settlement location has been built.","","","2","Armor Points","","","",""
"White Lion Gauntlets","https://kingdomdeath.fandom.com/wiki/White_Lion_Gauntlets","White Lion Gauntlet","When you Pounce, gain +1 accuracy for your next attack this turn.","armor, set, fur, heavy","The White Lion Gauntlets may be crafted once the Catarium settlement location has been built.","","","2","2","","","",""
"","","","","","","1x White Fur","","","","","","",""
"","","","","","","1x Bone","","","","","","",""
"","","","","","","","Arm Armor","","","","","",""
"","","","","","","","Fur Gear","","","","","",""
"","","","","","","","Heavy Gear","","","","","",""
"","","","","","","","Uses for White Fur","","","","","",""
"","","","","","","","Cards","","","","","",""
"","","","","","","","Gear","","","","","",""
"","","","","","","","Armor","","","","","",""
"","","","","","","","Catarium Gear","","","","","",""
"","","","","","","","Core Game Gear","","","","","",""
"","","","","","","","","","","","","","Brawler Armor"
"","","","","","","","","","","","","","White Lion Armor"
"White Lion Helm","https://kingdomdeath.fandom.com/wiki/White_Lion_Helm","White Lion Helm","Affinity Bonus: and 1 survival: Roar. Non-Deaf Insane survivors gain +2 strength until the end of the round. All other survivors gain +1 insanity.","armor, set, fur, heavy","The White Lion Helm may be crafted once the Catarium settlement location has been built.","","","Affinity Bonus","Armor Points","","","",""
"White Lion Helm","https://kingdomdeath.fandom.com/wiki/White_Lion_Helm","White Lion Helm","Affinity Bonus: and 1 survival: Roar. Non-Deaf Insane survivors gain +2 strength until the end of the round. All other survivors gain +1 insanity.","armor, set, fur, heavy","The White Lion Helm may be crafted once the Catarium settlement location has been built.","","","Affinity Bonus","2","","","",""
"White Lion Helm","https://kingdomdeath.fandom.com/wiki/White_Lion_Helm","White Lion Helm","Affinity Bonus: and 1 survival: Roar. Non-Deaf Insane survivors gain +2 strength until the end of the round. All other survivors gain +1 insanity.","armor, set, fur, heavy","The White Lion Helm may be crafted once the Catarium settlement location has been built.","","","Affinity Bonus","Affinity Bonus","","","",""
"","","","","","","1x White Fur","","","","","","",""
"","","","","","","1x Great Cat Bones","","","","","","",""
"","","","","","","","Head Armor","","","","","",""
"","","","","","","","Fur Gear","","","","","",""
"","","","","","","","Heavy Gear","","","","","",""
"","","","","","","","Uses for White Fur","","","","","",""
"","","","","","","","Uses for Great Cat Bones","","","","","",""
"","","","","","","","","","","","","","White Lion Armor"
"White Lion Skirt","https://kingdomdeath.fandom.com/wiki/White_Lion_Skirt","White Lion Skirt","The White Lion Skirt may be crafted once the Catarium settlement location has been built.","armor, set, fur, heavy","","","","2","Armor Points","","","",""
"White Lion Skirt","https://kingdomdeath.fandom.com/wiki/White_Lion_Skirt","White Lion Skirt","The White Lion Skirt may be crafted once the Catarium settlement location has been built.","armor, set, fur, heavy","","","","2","2","","","",""
"","","","","","","1x White Fur","","","","","","",""
"","","","","","","1x Bone","","","","","","",""
"","","","","","","","Waist Armor","","","","","",""
"","","","","","","","Fur Gear","","","","","",""
"","","","","","","","Heavy Gear","","","","","",""
"","","","","","","","Gear with Red Affinities","","","","","",""
"","","","","","","","Gear with Left Red Affinities","","","","","",""
"","","","","","","","Gear with Right Red Affinities","","","","","",""
"","","","","","","","Uses for White Fur","","","","","",""
"","","","","","","","Cards","","","","","",""
"","","","","","","","Gear","","","","","",""
"","","","","","","","Catarium Gear","","","","","",""
"","","","","","","","Core Game Gear","","","","","",""
"","","","","","","","","","","","","","White Lion Armor"
"Final Lantern","https://kingdomdeath.fandom.com/wiki/Final_Lantern","Final Lantern","Vital
On Arrival, all survivors gain the Horripilation survivor status card. (See Watcher's Ai deck). When not insane, flip this card.","item, other, lantern1","On Arrival, all survivors gain the Horripilation survivor status card. (See Watcher's Ai deck). When insane, flip this card.","","","Vital","Vital","","","",""
"","","","","","","Open","","","","","","",""
"","","","","","","Closed","","","","","","",""
"","","","","","","Blackout","","","","","","",""
"","","","","","","","Gear","","","","","",""
"","","","","","","","Rare Gear","","","","","",""
"","","","","","","","Core Game Rare Gear","","","","","",""
"","","","","","","","Core Game Cards","","","","","",""
"","","","","","","","Core Game Gear","","","","","",""
"","","","","","","","Items","","","","","",""
"","","","","","","","Other Gear","","","","","",""
"","","","","","","","Vital Gear","","","","","",""
"","","","","","","","Gear with Any Affinities","","","","","",""
"","","","","","","","Gear with Left Any Affinities","","","","","",""
"","","","","","","","Gear with Up Any Affinities","","","","","",""
"","","","","","","","Gear with Green Affinities","","","","","",""
"","","","","","","","Gear with Up Green Affinities","","","","","",""
"","","","","","","","Gear with Blue Affinities","","","","","",""
"","","","","","","","Gear with Left Blue Affinities","","","","","",""
"Oxidized Beacon Shield","https://kingdomdeath.fandom.com/wiki/Oxidized_Beacon_Shield","Oxidized Beacon Shield","Add 2 to all hit locations.","weapon, melee, shield, metal, heavy","Deflect 2: Spend , you now have exactly 2 deflect tokens. The next 2 times you are hit, ignore a hit and lose 1 deflect token.","","","Deflect 2","Deflect 2","1","6+","6",""
"","","","","","","1x Beacon Shield","","","","","","",""
"","","","","","","2x Iron","","","","","","",""
"","","","","","","1x Hide","","","","","","",""
"","","","","","","","Cards","","","","","",""
"","","","","","","","Exhausted Lantern Hoard Gear","","","","","",""
"","","","","","","","Melee Weapons","","","","","",""
"","","","","","","","Shields","","","","","",""
"","","","","","","","Metal Gear","","","","","",""
"","","","","","","","Heavy Gear","","","","","",""
"","","","","","","","Gear with Deflect","","","","","",""
"","","","","","","","Uses for Leather","","","","","",""
"","","","","","","","Uses for Iron","","","","","",""
"","","","","","","","Uses for Black Lichen","","","","","",""
"","","","","","","","Uses for Cocoon Membrane","","","","","",""
"","","","","","","","Core Game Gear","","","","","",""
"Oxidized Lantern Dagger","https://kingdomdeath.fandom.com/wiki/Oxidized_Lantern_Dagger","Oxidized Lantern Dagger","Sharp, Paired
Affinity Bonus: On a Perfect hit, gain +1 survival.","weapon, melee, dagger, finesse, metal","Oxidized Lantern Dagger may be crafted once the Exhausted Lantern Hoard settlement location has been acquired.","","","Sharp, Paired, Affinity Bonus","Sharp","3","6+","4",""
"Oxidized Lantern Dagger","https://kingdomdeath.fandom.com/wiki/Oxidized_Lantern_Dagger","Oxidized Lantern Dagger","Sharp, Paired
Affinity Bonus: On a Perfect hit, gain +1 survival.","weapon, melee, dagger, finesse, metal","Oxidized Lantern Dagger may be crafted once the Exhausted Lantern Hoard settlement location has been acquired.","","","Sharp, Paired, Affinity Bonus","Paired","3","6+","4",""
"Oxidized Lantern Dagger","https://kingdomdeath.fandom.com/wiki/Oxidized_Lantern_Dagger","Oxidized Lantern Dagger","Sharp, Paired
Affinity Bonus: On a Perfect hit, gain +1 survival.","weapon, melee, dagger, finesse, metal","Oxidized Lantern Dagger may be crafted once the Exhausted Lantern Hoard settlement location has been acquired.","","","Sharp, Paired, Affinity Bonus","Affinity Bonus","3","6+","4",""
"","","","","","","1x Lantern Dagger","","","","","","",""
"","","","","","","1x Iron","","","","","","",""
"","","","","","","4x Hide","","","","","","",""
"","","","","","","","Cards","","","","","",""
"","","","","","","","Exhausted Lantern Hoard Gear","","","","","",""
"","","","","","","","Melee Weapons","","","","","",""
"","","","","","","","Daggers","","","","","",""
"","","","","","","","Metal Gear","","","","","",""
"","","","","","","","Uses for Leather","","","","","",""
"","","","","","","","Uses for Black Lichen","","","","","",""
"","","","","","","","Uses for Cocoon Membrane","","","","","",""
"","","","","","","","Gear with Finesse","","","","","",""
"","","","","","","","Weapons with Sharp","","","","","",""
"","","","","","","","On a Perfect Hit","","","","","",""
"","","","","","","","Paired Weapons","","","","","",""
"","","","","","","","Uses for Iron","","","","","",""
"","","","","","","","Gear with Red Affinities","","","","","",""
"","","","","","","","Gear with Left Red Affinities","","","","","",""
"","","","","","","","Gear with Right Red Affinities","","","","","",""
"","","","","","","","Gear with Any Affinities","","","","","",""
"","","","","","","","Gear with Up Any Affinities","","","","","",""
"","","","","","","","Gear with Left Any Affinities","","","","","",""
"","","","","","","","Gear with Down Any Affinities","","","","","",""
"","","","","","","","Gear with Right Any Affinities","","","","","",""
"","","","","","","","Core Game Gear","","","","","",""
"Oxidized Lantern Glaive","https://kingdomdeath.fandom.com/wiki/Oxidized_Lantern_Glaive","Oxidized Lantern Glaive","Sharp, Reach 2
Affinity Bonus: On a Perfect hit, the edge sharpens. This weapon gains +4 strength for this attack.","weapon, melee, spear, axe,
two-handed, finesse, metal","Oxidized Lantern Glaive may be crafted once the Exhausted Lantern Hoard settlement location has been acquired.","","","Sharp, Reach 2, Affinity Bonus","Sharp","2","5+","6",""
"Oxidized Lantern Glaive","https://kingdomdeath.fandom.com/wiki/Oxidized_Lantern_Glaive","Oxidized Lantern Glaive","Sharp, Reach 2
Affinity Bonus: On a Perfect hit, the edge sharpens. This weapon gains +4 strength for this attack.","weapon, melee, spear, axe,
two-handed, finesse, metal","Oxidized Lantern Glaive may be crafted once the Exhausted Lantern Hoard settlement location has been acquired.","","","Sharp, Reach 2, Affinity Bonus","Reach 2","2","5+","6",""
"Oxidized Lantern Glaive","https://kingdomdeath.fandom.com/wiki/Oxidized_Lantern_Glaive","Oxidized Lantern Glaive","Sharp, Reach 2
Affinity Bonus: On a Perfect hit, the edge sharpens. This weapon gains +4 strength for this attack.","weapon, melee, spear, axe,
two-handed, finesse, metal","Oxidized Lantern Glaive may be crafted once the Exhausted Lantern Hoard settlement location has been acquired.","","","Sharp, Reach 2, Affinity Bonus","Affinity Bonus","2","5+","6",""
"","","","","","","1x Lantern Glaive","","","","","","",""
"","","","","","","1x Iron","","","","","","",""
"","","","","","","4x Bone","","","","","","",""
"","","","","","","","Cards","","","","","",""
"","","","","","","","Exhausted Lantern Hoard Gear","","","","","",""
"","","","","","","","Melee Weapons","","","","","",""
"","","","","","","","Axes","","","","","",""
"","","","","","","","Spears","","","","","",""
"","","","","","","","Metal Gear","","","","","",""
"","","","","","","","Two-Handed Weapons","","","","","",""
"","","","","","","","On a Perfect Hit","","","","","",""
"","","","","","","","Uses for Leather","","","","","",""
"","","","","","","","Uses for Iron","","","","","",""
"","","","","","","","Uses for Black Lichen","","","","","",""
"","","","","","","","Uses for Cocoon Membrane","","","","","",""
"","","","","","","","Gear with Finesse","","","","","",""
"","","","","","","","Weapons with Sharp","","","","","",""
"","","","","","","","Gear with Reach","","","","","",""
"","","","","","","","Gear with Green Affinities","","","","","",""
"","","","","","","","Gear with Down Green Affinities","","","","","",""
"","","","","","","","Gear with Any Affinities","","","","","",""
"","","","","","","","Gear with Up Any Affinities","","","","","",""
"","","","","","","","Gear with Left Any Affinities","","","","","",""
"","","","","","","","Gear with Down Any Affinities","","","","","",""
"","","","","","","","Gear with Right Any Affinities","","","","","",""
"","","","","","","","Core Game Gear","","","","","",""
"Oxidized Lantern Helm","https://kingdomdeath.fandom.com/wiki/Oxidized_Lantern_Helm","Oxidized Lantern Helm","Outfit
Affinity Bonus: If you are not deaf, you may ignore effects that target non-deaf survivors.","armor, set, metal","Oxidized Lantern Helm may be crafted once the Exhausted Lantern Hoard settlement location has been acquired.","","","Outfit, Affinity Bonus","Armor Points","","","",""
"Oxidized Lantern Helm","https://kingdomdeath.fandom.com/wiki/Oxidized_Lantern_Helm","Oxidized Lantern Helm","Outfit
Affinity Bonus: If you are not deaf, you may ignore effects that target non-deaf survivors.","armor, set, metal","Oxidized Lantern Helm may be crafted once the Exhausted Lantern Hoard settlement location has been acquired.","","","Outfit, Affinity Bonus","6","","","",""
"Oxidized Lantern Helm","https://kingdomdeath.fandom.com/wiki/Oxidized_Lantern_Helm","Oxidized Lantern Helm","Outfit
Affinity Bonus: If you are not deaf, you may ignore effects that target non-deaf survivors.","armor, set, metal","Oxidized Lantern Helm may be crafted once the Exhausted Lantern Hoard settlement location has been acquired.","","","Outfit, Affinity Bonus","Outfit","","","",""
"Oxidized Lantern Helm","https://kingdomdeath.fandom.com/wiki/Oxidized_Lantern_Helm","Oxidized Lantern Helm","Outfit
Affinity Bonus: If you are not deaf, you may ignore effects that target non-deaf survivors.","armor, set, metal","Oxidized Lantern Helm may be crafted once the Exhausted Lantern Hoard settlement location has been acquired.","","","Outfit, Affinity Bonus","Affinity Bonus","","","",""
"","","","","","","1x Lantern Helm","","","","","","",""
"","","","","","","1x Iron","","","","","","",""
